"","FID1","IID1","FID2","IID2","NSNP","HETHET","IBS0","KINSHIP"
"116",0,"E35M",0,"E30M",1165351,0.0627305,0.0212159,0.0533065
"117",0,"E35M",0,"E31M",1182685,0.053907,0.0306235,-0.089658
"118",0,"E35M",0,"E32M",1131866,0.0552274,0.0222933,-0.00835942
"119",0,"E35M",0,"E33M",925860,0.0622351,0.0278984,0.000382054
"120",0,"E35M",0,"E34M",1177543,0.0542103,0.0309212,-0.0912396
"121",0,"E36F",0,"E10F",1096599,0.0405508,0.0353621,-0.17279
"122",0,"E36F",0,"E13M",1094341,0.0459747,0.0330016,-0.0910021
"123",0,"E36F",0,"E14F",1123623,0.0359978,0.0394314,-0.322267
"124",0,"E36F",0,"E18F",1117531,0.0742879,0.000144962,0.274051
"125",0,"E36F",0,"E19M",1061123,0.0475082,0.0347556,-0.106389
"126",0,"E36F",0,"E24M",1116071,0.045774,0.0350497,-0.103017
"127",0,"E36F",0,"E25F",1053018,0.0500732,0.0309472,-0.0577452
"128",0,"E36F",0,"E27M",984270,0.0512949,0.0295539,-0.0698308
"129",0,"E36F",0,"E28F",1050830,0.0551612,0.0115061,0.112273
"130",0,"E36F",0,"E29M",1115164,0.053472,0.0140804,0.0915997
"131",0,"E36F",0,"E30M",1105061,0.051627,0.0286518,-0.0591961
"132",0,"E36F",0,"E31M",1122253,0.0453204,0.0362262,-0.112997
"133",0,"E36F",0,"E32M",1072751,0.0482973,0.0195591,0.0317531
"134",0,"E36F",0,"E33M",875504,0.0762429,0.000418045,0.273144
"135",0,"E36F",0,"E34M",1117479,0.0479302,0.0287057,-0.0397162
"136",0,"E36F",0,"E35M",1124422,0.0540696,0.0313966,-0.0943212
"137",0,"E37F",0,"E10F",1149186,0.0372742,0.0295748,-0.148239
"138",0,"E37F",0,"E13M",1147112,0.0374898,0.0371455,-0.273916
"139",0,"E37F",0,"E14F",1177139,0.0284435,0.0466631,-0.367954
"140",0,"E37F",0,"E18F",1171068,0.0451502,0.0211491,-0.0951637
"141",0,"E37F",0,"E19M",1111353,0.0362126,0.0387321,-0.307357
"142",0,"E37F",0,"E24M",1169569,0.0353275,0.0413657,-0.323174
"143",0,"E37F",0,"E25F",1104239,0.0372881,0.0332347,-0.235571
"144",0,"E37F",0,"E27M",1033131,0.0412503,0.033956,-0.257943
"145",0,"E37F",0,"E28F",1102075,0.0600776,0.000296713,0.216322
"146",0,"E37F",0,"E29M",1168535,0.053627,0.0142084,0.0464012
"147",0,"E37F",0,"E30M",1158341,0.041101,0.0334237,-0.251541
"148",0,"E37F",0,"E31M",1175713,0.0347874,0.0391932,-0.297983
"149",0,"E37F",0,"E32M",1124894,0.0448496,0.0202837,-0.0553034
"150",0,"E37F",0,"E33M",919607,0.0694427,0.000487165,0.243086
"151",0,"E37F",0,"E34M",1170609,0.0358873,0.0295282,-0.19064
"152",0,"E37F",0,"E35M",1178137,0.0440467,0.0312943,-0.242167
"153",0,"E37F",0,"E36F",1117930,0.0419937,0.0125679,0.0188647
"154",0,"LAO01M",0,"E10F",1153140,0.0374118,0.0606726,-0.44879
"155",0,"LAO01M",0,"E13M",1150891,0.0479507,0.0556082,-0.267376
"156",0,"LAO01M",0,"E14F",1180931,0.032128,0.066252,-0.668604
"157",0,"LAO01M",0,"E18F",1174870,0.0522603,0.0501409,-0.184032
"158",0,"LAO01M",0,"E19M",1114609,0.0463337,0.0541392,-0.251011
"159",0,"LAO01M",0,"E24M",1173328,0.0444726,0.0560525,-0.296362
"160",0,"LAO01M",0,"E25F",1108125,0.0484025,0.053299,-0.24482
"161",0,"LAO01M",0,"E27M",1036876,0.0514661,0.0476055,-0.172891
"162",0,"LAO01M",0,"E28F",1105894,0.0468065,0.0546155,-0.241386
"163",0,"LAO01M",0,"E29M",1172386,0.0450952,0.055051,-0.265605
"164",0,"LAO01M",0,"E30M",1162125,0.0532249,0.0491032,-0.176942
"165",0,"LAO01M",0,"E31M",1179370,0.045359,0.0537355,-0.282649
"166",0,"LAO01M",0,"E32M",1128656,0.0466644,0.0560454,-0.280097
"167",0,"LAO01M",0,"E33M",922993,0.0490708,0.0534814,-0.21941
"168",0,"LAO01M",0,"E34M",1174282,0.0459327,0.0563093,-0.302502
"169",0,"LAO01M",0,"E35M",1181941,0.0573159,0.0329991,-0.0622359
"170",0,"LAO01M",0,"E36F",1121122,0.046069,0.0576833,-0.311226
"171",0,"LAO01M",0,"E37F",1174842,0.0358389,0.065619,-0.604036
"172",0,"LAO03M",0,"E10F",1112102,0.0302526,0.0931138,-0.735958
"173",0,"LAO03M",0,"E13M",1109942,0.0381218,0.0844432,-0.596088
"174",0,"LAO03M",0,"E14F",1139517,0.0264823,0.0957055,-0.970372
"175",0,"LAO03M",0,"E18F",1133354,0.0392393,0.0768277,-0.551031
"176",0,"LAO03M",0,"E19M",1075584,0.0377683,0.0764124,-0.538325
"177",0,"LAO03M",0,"E24M",1131847,0.0369043,0.0837163,-0.589312
"178",0,"LAO03M",0,"E25F",1068205,0.0397826,0.0836525,-0.581834
"179",0,"LAO03M",0,"E27M",998584,0.0403872,0.0737454,-0.523245
"180",0,"LAO03M",0,"E28F",1066066,0.0402742,0.0840107,-0.592116
"181",0,"LAO03M",0,"E29M",1130871,0.0353046,0.0846746,-0.615847
"182",0,"LAO03M",0,"E30M",1120915,0.0444824,0.0765544,-0.529638
"183",0,"LAO03M",0,"E31M",1137943,0.040089,0.0852986,-0.586553
"184",0,"LAO03M",0,"E32M",1088326,0.0387228,0.0846208,-0.59363
"185",0,"LAO03M",0,"E33M",888532,0.0389271,0.0805779,-0.579473
"186",0,"LAO03M",0,"E34M",1133195,0.0369945,0.0850154,-0.598195
"187",0,"LAO03M",0,"E35M",1140308,0.0478529,0.0608073,-0.401592
"188",0,"LAO03M",0,"E36F",1082069,0.0360827,0.0833958,-0.591973
"189",0,"LAO03M",0,"E37F",1133696,0.030629,0.0957849,-0.900261
"190",0,"LAO03M",0,"LAO01M",1137208,0.0570722,0.0241328,-0.00421445
"191",0,"LAO06M",0,"E10F",1148849,0.0345293,0.0677931,-0.480807
"192",0,"LAO06M",0,"E13M",1146693,0.0405723,0.0570406,-0.34894
"193",0,"LAO06M",0,"E14F",1176640,0.0273448,0.0756094,-0.740531
"194",0,"LAO06M",0,"E18F",1170525,0.0438111,0.0567463,-0.35782
"195",0,"LAO06M",0,"E19M",1110300,0.0409268,0.062285,-0.403559
"196",0,"LAO06M",0,"E24M",1169001,0.0368682,0.0590641,-0.377317
"197",0,"LAO06M",0,"E25F",1103945,0.0424559,0.0568932,-0.340488
"198",0,"LAO06M",0,"E27M",1033102,0.0451562,0.0566198,-0.355012
"199",0,"LAO06M",0,"E28F",1101799,0.0399365,0.0598812,-0.388522
"200",0,"LAO06M",0,"E29M",1168027,0.0408193,0.0638153,-0.412522
"201",0,"LAO06M",0,"E30M",1157880,0.0413929,0.0516064,-0.328427
"202",0,"LAO06M",0,"E31M",1174989,0.0381391,0.0601742,-0.378102
"203",0,"LAO06M",0,"E32M",1124563,0.0385225,0.0636941,-0.41484
"204",0,"LAO06M",0,"E33M",919520,0.0420578,0.0604576,-0.395203
"205",0,"LAO06M",0,"E34M",1169924,0.0399881,0.0588739,-0.359231
"206",0,"LAO06M",0,"E35M",1177525,0.0475854,0.0384977,-0.209841
"207",0,"LAO06M",0,"E36F",1116964,0.0379699,0.0625723,-0.401444
"208",0,"LAO06M",0,"E37F",1170507,0.026832,0.069176,-0.635744
"209",0,"LAO06M",0,"LAO01M",1174402,0.0611579,0.0180901,0.0643984
"210",0,"LAO06M",0,"LAO03M",1132899,0.0477448,0.0264604,-0.0249811
"211",0,"LO01F",0,"E10F",1149231,0.0501074,0.0213404,-0.0765317
"212",0,"LO01F",0,"E13M",1147057,0.0556712,0.0267092,-0.0508203
"213",0,"LO01F",0,"E14F",1177093,0.0404412,0.0394582,-0.388423
"214",0,"LO01F",0,"E18F",1170935,0.0627908,0.0253942,0.00971848
"215",0,"LO01F",0,"E19M",1111255,0.0554607,0.0344277,-0.103602
"216",0,"LO01F",0,"E24M",1169402,0.0543953,0.0296998,-0.0863364
"217",0,"LO01F",0,"E25F",1104231,0.0573739,0.0280449,-0.0534485
"218",0,"LO01F",0,"E27M",1033085,0.0627683,0.0274595,0.000524619
"219",0,"LO01F",0,"E28F",1101986,0.0618846,0.0219032,0.022175
"220",0,"LO01F",0,"E29M",1168399,0.0596577,0.0219488,0.00753374
"221",0,"LO01F",0,"E30M",1158153,0.0628561,0.0249561,0.0175639
"222",0,"LO01F",0,"E31M",1175510,0.05439,0.0283298,-0.0798081
"223",0,"LO01F",0,"E32M",1124866,0.0566067,0.0264165,-0.0469414
"224",0,"LO01F",0,"E33M",919824,0.0620347,0.0282761,-0.0144099
"225",0,"LO01F",0,"E34M",1170446,0.0535591,0.0281978,-0.082989
"226",0,"LO01F",0,"E35M",1178006,0.0862517,0.00848298,0.221779
"227",0,"LO01F",0,"E36F",1117773,0.0551838,0.0295149,-0.085402
"228",0,"LO01F",0,"E37F",1171063,0.0457687,0.0345259,-0.281084
"229",0,"LO01F",0,"LAO01M",1174745,0.0577138,0.0290957,-0.0419033
"230",0,"LO01F",0,"LAO03M",1133460,0.0480714,0.0530385,-0.344977
"231",0,"LO01F",0,"LAO06M",1170363,0.0479774,0.0372047,-0.208757
"232",0,"LO03M",0,"E10F",1130675,0.0518593,0.0139492,0.0646745
"233",0,"LO03M",0,"E13M",1128524,0.0492298,0.0258036,-0.0133963
"234",0,"LO03M",0,"E14F",1158078,0.0347878,0.0404204,-0.352636
"235",0,"LO03M",0,"E18F",1151962,0.0566034,0.0239496,0.0158192
"236",0,"LO03M",0,"E19M",1092584,0.0469758,0.0308489,-0.0604356
"237",0,"LO03M",0,"E24M",1150549,0.0492426,0.0325758,-0.0735291
"238",0,"LO03M",0,"E25F",1086162,0.052436,0.0279848,-0.0171012
"239",0,"LO03M",0,"E27M",1016420,0.0538744,0.025641,-0.0150958
"240",0,"LO03M",0,"E28F",1084427,0.0568014,0.016334,0.086693
"241",0,"LO03M",0,"E29M",1149542,0.0548436,0.0155749,0.0919779
"242",0,"LO03M",0,"E30M",1139536,0.0541861,0.0223214,0.0138344
"243",0,"LO03M",0,"E31M",1156394,0.0470488,0.0283537,-0.0528998
"244",0,"LO03M",0,"E32M",1106668,0.050784,0.0226129,0.0161405
"245",0,"LO03M",0,"E33M",904605,0.0558686,0.0265276,-0.00858163
"246",0,"LO03M",0,"E34M",1151337,0.0462237,0.0264215,-0.0404951
"247",0,"LO03M",0,"E35M",1158929,0.0611332,0.0198994,0.0391175
"248",0,"LO03M",0,"E36F",1099031,0.0488339,0.0289082,-0.0494812
"249",0,"LO03M",0,"E37F",1151904,0.0424836,0.0322101,-0.201151
"250",0,"LO03M",0,"LAO01M",1155748,0.0474749,0.0559023,-0.263528
"251",0,"LO03M",0,"LAO03M",1114640,0.0395608,0.0820032,-0.572971
"252",0,"LO03M",0,"LAO06M",1151462,0.0417452,0.0620264,-0.392028
"253",0,"LO03M",0,"LO01F",1151872,0.0676099,0.000241346,0.207848
"254",0,"LO04M",0,"E10F",1139221,0.0398492,0.0589297,-0.428158
"255",0,"LO04M",0,"E13M",1137057,0.048498,0.0521794,-0.244134
"256",0,"LO04M",0,"E14F",1166749,0.0358278,0.0665113,-0.659
"257",0,"LO04M",0,"E18F",1160682,0.0503127,0.0512087,-0.189855
"258",0,"LO04M",0,"E19M",1100894,0.0487458,0.0543722,-0.249384
"259",0,"LO04M",0,"E24M",1159259,0.0466332,0.0526224,-0.266289
"260",0,"LO04M",0,"E25F",1094473,0.0463566,0.0491908,-0.22676
"261",0,"LO04M",0,"E27M",1024011,0.0518676,0.0494838,-0.175222
"262",0,"LO04M",0,"E28F",1092468,0.0480179,0.0546304,-0.243149
"263",0,"LO04M",0,"E29M",1158181,0.0468761,0.0556148,-0.269345
"264",0,"LO04M",0,"E30M",1148081,0.0503458,0.0464349,-0.158248
"265",0,"LO04M",0,"E31M",1165126,0.0451376,0.0516596,-0.272164
"266",0,"LO04M",0,"E32M",1114935,0.0448645,0.0555557,-0.289081
